PUERTO BASE;AÑO;NUM_BARCOS
Carreira-Aguiño;2019;107
Carreira-Aguiño;2020;105
Carreira-Aguiño;2021;104
Carreira-Aguiño;2022;104
Carreira-Aguiño;2023;102
Carreira-Aguiño;2024;104
Carreira-Aguiño;2025;104
Carril;2006;67
Carril;2007;54
Carril;2008;41
Carril;2009;42
Carril;2010;43
Carril;2011;43
Carril;2012;43
Carril;2013;42
Carril;2014;39
Carril;2015;43
Carril;2016;43
Carril;2017;43
Carril;2018;43
Carril;2019;44
Carril;2020;45
Carril;2021;44
Carril;2022;44
Carril;2023;44
Carril;2024;41
Carril;2025;41
Cartagena;2006;66
Cartagena;2007;62
Cartagena;2008;60
Cartagena;2009;58
Cartagena;2010;56
Cartagena;2011;53
Cartagena;2012;53
Cartagena;2013;55
Cartagena;2014;51
Cartagena;2015;48
Cartagena;2016;45
Cartagena;2017;40
Cartagena;2018;41
Cartagena;2019;43
Cartagena;2020;43
Cartagena;2021;43
Cartagena;2022;44
Cartagena;2023;45
Cartagena;2024;45
Cartagena;2025;41
Casas de Alcanar;2006;11
Casas de Alcanar;2007;10
Casas de Alcanar;2008;9
Casas de Alcanar;2009;8
Casas de Alcanar;2010;6
Casas de Alcanar;2011;7
Casas de Alcanar;2012;7
Casas de Alcanar;2013;8
Casas de Alcanar;2014;8
Casas de Alcanar;2015;8
Casas de Alcanar;2016;8
Casas de Alcanar;2017;9
Casas de Alcanar;2018;10
Casas de Alcanar;2019;11
Casas de Alcanar;2020;11
Casas de Alcanar;2021;11
Casas de Alcanar;2022;11
Casas de Alcanar;2023;11
Casas de Alcanar;2024;11
Casas de Alcanar;2025;11
Castellon de la Plana (El Grao);2006;90
Castellon de la Plana (El Grao);2007;86
Castellon de la Plana (El Grao);2008;82
Castellon de la Plana (El Grao);2009;68
Castellon de la Plana (El Grao);2010;64
Castellon de la Plana (El Grao);2011;58
Castellon de la Plana (El Grao);2012;54
Castellon de la Plana (El Grao);2013;51
Castellon de la Plana (El Grao);2014;50
Castellon de la Plana (El Grao);2015;52
Castellon de la Plana (El Grao);2016;52
Castellon de la Plana (El Grao);2017;52
Castellon de la Plana (El Grao);2018;49
Castellon de la Plana (El Grao);2019;48
Castellon de la Plana (El Grao);2020;45
Castellon de la Plana (El Grao);2021;47
Castellon de la Plana (El Grao);2022;45
Castellon de la Plana (El Grao);2023;42
Castellon de la Plana (El Grao);2024;40
Castellon de la Plana (El Grao);2025;38
Castillo del Romeral;2006;18
Castillo del Romeral;2007;18
Castillo del Romeral;2008;17
Castillo del Romeral;2009;20
Castillo del Romeral;2010;20
Castillo del Romeral;2011;20
Castillo del Romeral;2012;20
Castillo del Romeral;2013;19
Castillo del Romeral;2014;19
